key,value,date
24S.24N,-47,1911
24S.24N,-22,1912
24S.24N,-31,1913
24S.24N,-7,1914
24S.24N,1,1915
24S.24N,-45,1916
24S.24N,-61,1917
24S.24N,-27,1918
24S.24N,-14,1919
24S.24N,-27,1920
24S.24N,-27,1921
24S.24N,-32,1922
24S.24N,-30,1923
24S.24N,-25,1924
24S.24N,-22,1925
24S.24N,3,1926
24S.24N,-14,1927
24S.24N,-14,1928
24S.24N,-27,1929
24S.24N,-12,1930
24S.24N,3,1931
24S.24N,-17,1932
24S.24N,-29,1933
24S.24N,-27,1934
24S.24N,-22,1935
24S.24N,-14,1936
24S.24N,-6,1937
24S.24N,-26,1938
24S.24N,-17,1939
24S.24N,19,1940
24S.24N,39,1941
24S.24N,15,1942
24S.24N,0,1943
24S.24N,22,1944
24S.24N,22,1945
24S.24N,-1,1946
24S.24N,-9,1947
24S.24N,-18,1948
24S.24N,-18,1949
24S.24N,-27,1950
24S.24N,-6,1951
24S.24N,2,1952
24S.24N,5,1953
24S.24N,-21,1954
24S.24N,-32,1955
24S.24N,-32,1956
24S.24N,7,1957
24S.24N,20,1958
24S.24N,6,1959
24S.24N,1,1960
24S.24N,-3,1961
24S.24N,-4,1962
24S.24N,11,1963
24S.24N,-14,1964
24S.24N,-3,1965
24S.24N,8,1966
24S.24N,-14,1967
24S.24N,-6,1968
24S.24N,32,1969
24S.24N,6,1970
24S.24N,-26,1971
24S.24N,16,1972
24S.24N,17,1973
24S.24N,-19,1974
24S.24N,-22,1975
24S.24N,-11,1976
24S.24N,16,1977
24S.24N,9,1978
24S.24N,25,1979
24S.24N,30,1980
24S.24N,19,1981
24S.24N,27,1982
24S.24N,44,1983
24S.24N,19,1984
24S.24N,11,1985
24S.24N,24,1986
24S.24N,60,1987
24S.24N,38,1988
24S.24N,16,1989
24S.24N,38,1990
24S.24N,39,1991
24S.24N,30,1992
24S.24N,34,1993
24S.24N,32,1994
24S.24N,44,1995
24S.24N,34,1996
24S.24N,53,1997
24S.24N,72,1998
24S.24N,26,1999
24S.24N,28,2000
24S.24N,45,2001
24S.24N,61,2002
24S.24N,64,2003
24S.24N,57,2004
24S.24N,65,2005
24S.24N,56,2006
24S.24N,47,2007
24S.24N,39,2008
24S.24N,68,2009
24S.24N,69,2010
24S.24N,37,2011
24S.24N,51,2012
24S.24N,58,2013
24S.24N,67,2014
90S.24S,-5,1880
90S.24S,-5,1881
90S.24S,4,1882
90S.24S,-2,1883
90S.24S,-11,1884
90S.24S,-20,1885
90S.24S,-20,1886
90S.24S,-26,1887
90S.24S,-33,1888
90S.24S,-17,1889
90S.24S,-26,1890
90S.24S,-23,1891
90S.24S,-16,1892
90S.24S,-7,1893
90S.24S,-22,1894
90S.24S,-19,1895
90S.24S,-18,1896
90S.24S,-28,1897
90S.24S,-29,1898
90S.24S,-17,1899
90S.24S,-34,1900
90S.24S,-28,1901
90S.24S,-33,1902
90S.24S,-33,1903
90S.24S,-38,1904
90S.24S,-36,1905
90S.24S,-24,1906
90S.24S,-28,1907
90S.24S,-33,1908
90S.24S,-40,1909
90S.24S,-32,1910
90S.24S,-47,1911
90S.24S,-30,1912
90S.24S,-31,1913
90S.24S,-19,1914
90S.24S,-18,1915
90S.24S,-22,1916
90S.24S,-9,1917
90S.24S,-14,1918
